Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8
6664286,Precision Demographics^Composites^Germany^Persons^25-44,Precision Demographics,Composites,Germany,Persons,25-44,,,
6664369,Precision Demographics^Composites^United Kingdom^Persons^18-34,Precision Demographics,Composites,United Kingdom,Persons,18-34,,,
6664370,Precision Demographics^Composites^United Kingdom^Persons^25-44,Precision Demographics,Composites,United Kingdom,Persons,25-44,,,
6664396,Precision Demographics^Composites^United States^Persons^18+,Precision Demographics,Composites,United States,Persons,18+,,,
6664397,Precision Demographics^Composites^United States^Persons^25+,Precision Demographics,Composites,United States,Persons,25+,,,
1857485,*Lotame vCE Optimized^APAC^Female APAC^F - 18-24 APAC,*Lotame vCE Optimized,APAC,Female APAC,F - 18-24 APAC,,,,
1857486,*Lotame vCE Optimized^APAC^Female APAC^F - 18-34 APAC,*Lotame vCE Optimized,APAC,Female APAC,F - 18-34 APAC,,,,
1857492,*Lotame vCE Optimized^APAC^Female APAC^F - 35-54 APAC,*Lotame vCE Optimized,APAC,Female APAC,F - 35-54 APAC,,,,
6664405,Precision Demographics^Composites^United States^Persons^25-54,Precision Demographics,Composites,United States,Persons,25-54,,,
1857557,*Lotame vCE Optimized^UK^Persons UK^18-49 UK,*Lotame vCE Optimized,UK,Persons UK,18-49 UK,,,,
5077992,Lotame Anti-Fraud Hierarchy^Validated^IAB Verified Valid Traffic,Lotame Anti-Fraud Hierarchy,Validated,IAB Verified Valid Traffic,,,,,
703372,*Lotame DAR Optimized^Standard^Female^F - 18-49,*Lotame DAR Optimized,Standard,Female,F - 18-49,,,,
3616468,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Yerevan,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Yerevan,,,,
703363,*Lotame DAR Optimized^Standard^Persons^18+,*Lotame DAR Optimized,Standard,Persons,18+,,,,
703355,*Lotame DAR Optimized^Standard^Female^F - 18+,*Lotame DAR Optimized,Standard,Female,F - 18+,,,,
703365,*Lotame DAR Optimized^Standard^Male^M - 18+,*Lotame DAR Optimized,Standard,Male,M - 18+,,,,
703364,*Lotame DAR Optimized^Standard^Persons^18-24,*Lotame DAR Optimized,Standard,Persons,18-24,,,,
703350,*Lotame DAR Optimized^Standard^Male^M - 18-24,*Lotame DAR Optimized,Standard,Male,M - 18-24,,,,
703362,*Lotame DAR Optimized^Standard^Persons^18-34,*Lotame DAR Optimized,Standard,Persons,18-34,,,,
