Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8,ShortName_General,ShortName_Specific,NEWID
838916,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^HP,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,HP,,,Past Purchases,Computers,838916
838915,*Lotame Shopping & Retail^Past Purchases^Services^Health & Fitness^Fitness Clubs,*Lotame Shopping & Retail,Past Purchases,Services,Health & Fitness,Fitness Clubs,,,,Past Purchases,Health & Fitness,838876
838914,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Hobby Supplies^Needlework^Quilting,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Hobby Supplies,Needlework,Quilting,,Past Purchases,Toys Games & Hobbies,838914
838913,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Ford Car,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Ford Car,,,,Past Purchases,Make,838913
838912,*Lotame Shopping & Retail^Past Purchases^Retail^Clothing Shoes & Accessories^Women^Shoes,*Lotame Shopping & Retail,Past Purchases,Retail,Clothing Shoes & Accessories,Women,Shoes,,,Past Purchases,Clothing Shoes & Accessories,838779
838911,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Jeep,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Jeep,,,,Past Purchases,Auto,838911
838910,*Lotame Shopping & Retail^Past Purchases^Retail^Sports Equipment & Outdoor Gear^Activities^Outdoor Activities^Disc Golf,*Lotame Shopping & Retail,Past Purchases,Retail,Sports Equipment & Outdoor Gear,Activities,Outdoor Activities,Disc Golf,,Past Purchases,Sports Equipment & Outdoor Gear,838510
838909,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Model Railroads & Trains,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Model Railroads & Trains,,,Past Purchases,Toys Games & Hobbies,838909
838908,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^Acer,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,Acer,,,Past Purchases,Computers,838908
838907,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^Gateway,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,Gateway,,,Past Purchases,Computers,838907
838906,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^IBM,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,IBM,,,Past Purchases,Computers,838906
838905,*Lotame Shopping & Retail^Past Purchases^Auto^Body Style^Luxury SUV,*Lotame Shopping & Retail,Past Purchases,Auto,Body Style,Luxury SUV,,,,Past Purchases,Body Style,838905
838904,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Kia,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Kia,,,,Past Purchases,Auto,838904
838903,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^Time Warner,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,Time Warner,,,Past Purchases,Internet Service Provider (ISP),838497
838902,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Porsche,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Porsche,,,,Past Purchases,Auto,838902
838901,*Lotame Shopping & Retail^Past Purchases^Retail^Pets^Aquariums & Fish,*Lotame Shopping & Retail,Past Purchases,Retail,Pets,Aquariums & Fish,,,,Past Purchases,Pets,838514
838900,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Cadillac,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Cadillac,,,,Past Purchases,Auto,838900
